local_path_x,local_path_y,global_path_x,global_path_y,actual_path_taken_x,actual_path_taken_y,error_local_path_to_global_path,error_local_path_to_actual_robot_path,error_between_global_path_&_actual_path,goal_x,goal_y
0.9703,-1.14169,0.925002,-1.175,0.9703,-1.14169,0.0562269055,0,0.0562269055,,
0.9703,-1.14169,0.925002,-1.175,0.9703,-1.14169,0.0562269055,0,0.0562269055,,
0.9703,-1.14169,0.925002,-1.175,0.9703,-1.14169,0.0562269055,0,0.0562269055,,
0.9703,-1.14169,0.925002,-1.175,0.970296,-1.14344,0.0562269055,0.0017500046,0.0562541325,,
0.9703,-1.14169,0.925002,-1.175,0.970296,-1.14344,0.0562269055,0.0017500046,0.0562541325,,
0.970296,-1.14344,0.925002,-1.175,0.970296,-1.14344,0.0552048914,0,0.0552048914,,
0.970296,-1.14344,0.925002,-1.175,0.970296,-1.14344,0.0552048914,0,0.0552048914,,
0.970296,-1.14344,0.925002,-1.175,0.97022,-1.14523,0.0552048914,0.0017916127,0.0552339562,,
0.970296,-1.14344,0.925002,-1.175,0.97022,-1.14523,0.0552048914,0.0017916127,0.0552339562,,
0.97022,-1.14523,0.925002,-1.175,0.97022,-1.14523,0.0541379758,0,0.0541379758,,
0.97022,-1.14523,0.925002,-1.175,0.97022,-1.14523,0.0541379758,0,0.0541379758,,
0.97022,-1.14523,0.925002,-1.175,0.970159,-1.147,0.0541379758,0.0017710508,0.0541669368,,
0.970159,-1.147,0.925002,-1.175,0.970159,-1.147,0.0531333666,0,0.0531333666,,
0.970159,-1.147,0.925002,-1.175,0.970159,-1.147,0.0531333666,0,0.0531333666,,
0.970159,-1.147,0.925002,-1.175,0.970159,-1.147,0.0531333666,0,0.0531333666,,
0.970159,-1.147,0.925002,-1.175,0.970159,-1.147,0.0531333666,0,0.0531333666,,
0.970159,-1.147,0.925002,-1.175,0.970103,-1.14874,0.0531333666,0.0017409009,0.0531618791,,
0.970159,-1.147,0.925002,-1.175,0.970103,-1.14874,0.0531333666,0.0017409009,0.0531618791,,
0.970159,-1.147,0.925002,-1.175,0.970103,-1.14874,0.0531333666,0.0017409009,0.0531618791,,
0.970103,-1.14874,0.925002,-1.175,0.970103,-1.14874,0.0521889624,0,0.0521889624,,
0.970103,-1.14874,0.925002,-1.175,0.970009,-1.15054,0.0521889624,0.0018024528,0.0522200789,,
0.970103,-1.14874,0.925002,-1.175,0.970009,-1.15054,0.0521889624,0.0018024528,0.0522200789,,
0.970009,-1.15054,0.925002,-1.175,0.970009,-1.15054,0.0512242291,0,0.0512242291,,
0.970009,-1.15054,0.925002,-1.175,0.970009,-1.15054,0.0512242291,0,0.0512242291,,
0.970009,-1.15054,0.925002,-1.175,0.969929,-1.15232,0.0512242291,0.0017817968,0.051255209,,
0.969929,-1.15232,0.925002,-1.175,0.969929,-1.15232,0.0503271073,0,0.0503271073,,
0.969929,-1.15232,0.925002,-1.175,0.969929,-1.15232,0.0503271073,0,0.0503271073,,
0.969929,-1.15232,0.925002,-1.175,0.969929,-1.15232,0.0503271073,0,0.0503271073,,
0.969929,-1.15232,0.925002,-1.175,0.969929,-1.15232,0.0503271073,0,0.0503271073,,
0.969929,-1.15232,0.925002,-1.175,0.969831,-1.15409,0.0503271073,0.0017727109,0.0503583184,,
0.969929,-1.15232,0.925002,-1.175,0.969831,-1.15409,0.0503271073,0.0017727109,0.0503583184,,
0.969929,-1.15232,0.925002,-1.175,0.969831,-1.15409,0.0503271073,0.0017727109,0.0503583184,,
0.969831,-1.15409,0.925002,-1.175,0.969831,-1.15409,0.0494658199,0,0.0494658199,,
0.969831,-1.15409,0.925002,-1.175,0.96973,-1.15583,0.0494658199,0.0017429289,0.0494965165,,
0.969831,-1.15409,0.925002,-1.175,0.96973,-1.15583,0.0494658199,0.0017429289,0.0494965165,,
0.96973,-1.15583,0.925002,-1.175,0.96973,-1.15583,0.0486629519,0,0.0486629519,,
0.96973,-1.15583,0.925002,-1.175,0.96973,-1.15583,0.0486629519,0,0.0486629519,,
0.96973,-1.15583,0.925002,-1.175,0.969548,-1.15764,0.0486629519,0.0018191273,0.0486969415,,
0.96973,-1.15583,0.925002,-1.175,0.969548,-1.15764,0.0486629519,0.0018191273,0.0486969415,,
0.969548,-1.15764,0.925002,-1.175,0.969548,-1.15764,0.0478091593,0,0.0478091593,,
0.969548,-1.15764,0.925002,-1.175,0.969548,-1.15764,0.0478091593,0,0.0478091593,,
0.969548,-1.15764,0.925002,-1.175,0.969548,-1.15764,0.0478091593,0,0.0478091593,,
0.969429,-1.15944,0.925002,-1.175,0.969429,-1.15944,0.0470730489,0,0.0470730489,,
0.969429,-1.15944,0.925002,-1.175,0.969429,-1.15944,0.0470730489,0,0.0470730489,,
0.969429,-1.15944,0.925002,-1.175,0.969429,-1.15944,0.0470730489,0,0.0470730489,,
0.969429,-1.15944,0.925002,-1.175,0.969429,-1.15944,0.0470730489,0,0.0470730489,,
0.969429,-1.15944,0.925002,-1.175,0.969344,-1.16118,0.0470730489,0.0017420749,0.0471052731,,
0.969429,-1.15944,0.925002,-1.175,0.969344,-1.16118,0.0470730489,0.0017420749,0.0471052731,,
0.969429,-1.15944,0.925002,-1.175,0.969344,-1.16118,0.0470730489,0.0017420749,0.0471052731,,
0.969344,-1.16118,0.925002,-1.175,0.969344,-1.16118,0.0464457249,0,0.0464457249,,
0.969344,-1.16118,0.925002,-1.175,0.969259,-1.16293,0.0464457249,0.0017520631,0.0464787595,,
0.969344,-1.16118,0.925002,-1.175,0.969259,-1.16293,0.0464457249,0.0017520631,0.0464787595,,
0.969259,-1.16293,0.925002,-1.225,0.969259,-1.16293,0.0762323222,0,0.0762323222,,
0.969259,-1.16293,0.925002,-1.225,0.969259,-1.16293,0.0762323222,0,0.0762323222,,
0.969259,-1.16293,0.925002,-1.225,0.969259,-1.16293,0.0762323222,0,0.0762323222,,
0.969101,-1.16475,0.925002,-1.225,0.969101,-1.16475,0.0746644782,0,0.0746644782,,
0.969101,-1.16475,0.925002,-1.225,0.969101,-1.16475,0.0746644782,0,0.0746644782,,
0.969101,-1.16475,0.925002,-1.225,0.969101,-1.16475,0.0746644782,0,0.0746644782,,
0.969101,-1.16475,0.925002,-1.225,0.969101,-1.16475,0.0746644782,0,0.0746644782,,
0.969101,-1.16475,0.925002,-1.225,0.969001,-1.16653,0.0746644782,0.0017828068,0.0746857597,,
0.969101,-1.16475,0.925002,-1.225,0.969001,-1.16653,0.0746644782,0.0017828068,0.0746857597,,
0.969101,-1.16475,0.925002,-1.225,0.969001,-1.16653,0.0746644782,0.0017828068,0.0746857597,,
0.969001,-1.16653,0.925002,-1.225,0.969001,-1.16653,0.0731754939,0,0.0731754939,,
0.969001,-1.16653,0.925002,-1.225,0.968905,-1.1684,0.0731754939,0.0018724625,0.0731994468,,
0.969001,-1.16653,0.925002,-1.225,0.968905,-1.1684,0.0731754939,0.0018724625,0.0731994468,,
0.968905,-1.1684,0.925002,-1.225,0.968905,-1.1684,0.0716312321,0,0.0716312321,,
0.968905,-1.1684,0.925002,-1.225,0.968905,-1.1684,0.0716312321,0,0.0716312321,,
0.968905,-1.1684,0.925002,-1.225,0.968905,-1.1684,0.0716312321,0,0.0716312321,,
0.968905,-1.1684,0.925002,-1.225,0.968802,-1.17017,0.0716312321,0.0017729944,0.071653171,,
0.968802,-1.17017,0.925002,-1.225,0.968802,-1.17017,0.0701766977,0,0.0701766977,,
0.968802,-1.17017,0.925002,-1.225,0.968802,-1.17017,0.0701766977,0,0.0701766977,,
0.968802,-1.17017,0.925002,-1.225,0.968802,-1.17017,0.0701766977,0,0.0701766977,,
0.968802,-1.17017,0.925002,-1.225,0.968691,-1.17199,0.0701766977,0.0018233817,0.0702003819,,
,,,,,,,Average,6.0110123292,,
