local_path_x,local_path_y,global_path_x,global_path_y,actual_path_taken_x,actual_path_taken_y,error_local_path_to_global_path,error_local_path_to_actual_robot_path,error_between_global_path_&_actual_path,goal_x,goal_y
1.05554,-1.18102,1.025,-1.225,1.05554,-1.18102,0.0535437391,0,0.0535437391,,
1.05554,-1.18102,1.025,-1.225,1.05554,-1.18102,0.0535437391,0,0.0535437391,,
1.05554,-1.18102,1.025,-1.225,1.05526,-1.1828,0.0535437391,0.0018018879,0.0535740497,,
1.05554,-1.18102,1.025,-1.225,1.05526,-1.1828,0.0535437391,0.0018018879,0.0535740497,,
1.05554,-1.18102,1.025,-1.225,1.05526,-1.1828,0.0535437391,0.0018018879,0.0535740497,,
1.05526,-1.1828,1.025,-1.225,1.05526,-1.1828,0.0519279077,0,0.0519279077,,
1.05526,-1.1828,1.025,-1.225,1.05526,-1.1828,0.0519279077,0,0.0519279077,,
1.05526,-1.1828,1.025,-1.225,1.05526,-1.1828,0.0519279077,0,0.0519279077,,
1.05526,-1.1828,1.025,-1.225,1.05526,-1.1828,0.0519279077,0,0.0519279077,,
1.05526,-1.1828,1.025,-1.225,1.05526,-1.1828,0.0519279077,0,0.0519279077,,
1.05526,-1.1828,1.025,-1.225,1.05516,-1.18456,0.0519279077,0.0017628386,0.0519578214,,
1.05516,-1.18456,1.025,-1.225,1.05516,-1.18456,0.0504481833,0,0.0504481833,,
1.05516,-1.18456,1.025,-1.225,1.05516,-1.18456,0.0504481833,0,0.0504481833,,
1.05516,-1.18456,1.025,-1.225,1.05516,-1.18456,0.0504481833,0,0.0504481833,,
1.05516,-1.18456,1.025,-1.225,1.05516,-1.18456,0.0504481833,0,0.0504481833,,
1.05516,-1.18456,1.025,-1.225,1.05516,-1.18456,0.0504481833,0,0.0504481833,,
1.05516,-1.18456,1.025,-1.225,1.05516,-1.18456,0.0504481833,0,0.0504481833,,
1.05516,-1.18456,1.025,-1.225,1.05516,-1.18456,0.0504481833,0,0.0504481833,,
1.05516,-1.18456,1.025,-1.225,1.05516,-1.18456,0.0504481833,0,0.0504481833,,
1.05516,-1.18456,1.025,-1.225,1.05498,-1.18628,0.0504481833,0.001729393,0.0504778169,,
1.05516,-1.18456,1.025,-1.225,1.05498,-1.18628,0.0504481833,0.001729393,0.0504778169,,
1.05498,-1.18628,1.025,-1.225,1.05498,-1.18628,0.0489697744,0,0.0489697744,,
1.05498,-1.18628,1.025,-1.225,1.05498,-1.18628,0.0489697744,0,0.0489697744,,
